,utterance,utterance_de,utterance_de_deepl,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
0,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Außerdem war ich der Ansprechpartner beim Übergang meines Unternehmens vom KL-5- zum GR-6-System.,Außerdem war ich die Kontaktperson bei der Umstellung meines Unternehmens vom KL-5- auf das GR-6-System.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
1,You must’ve had your hands full.,Sie müssen alle Hände voll zu tun haben.,Sie müssen alle Hände voll zu tun gehabt haben.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
2,That I did. That I did.,Das habe ich getan. Das habe ich getan.,"Das hatte ich. Ja, das hatte ich.",Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
3,So let’s talk a little bit about your duties.,Sprechen wir also ein wenig über Ihre Aufgaben.,Reden wir ein wenig über Ihre Aufgaben.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
4,My duties?  All right.,Meine Aufgaben? Alles klar.,Meine Aufgaben?  Also gut.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
5,"Now you’ll be heading a whole division, so you’ll have a lot of duties.","Jetzt werden Sie eine ganze Abteilung leiten, also haben Sie viele Aufgaben.","Sie werden eine ganze Abteilung leiten, also haben Sie eine Menge Aufgaben.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
6,I see.,Aha.,Ich verstehe.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
7,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,"Aber es werden vielleicht 30 Leute unter Ihnen sein, damit Sie eine bestimmte Menge auf sie werfen können.","Aber es werden vielleicht 30 Leute unter Ihnen sein, also können Sie ihnen eine gewisse Menge aufbürden.",The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
8,Good to know.,Gut zu wissen.,Gut zu wissen.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
9,We can go into detail,Wir können ins Detail gehen,Wir können ins Detail gehen,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
10,No don’t I beg of you!,"Nein, ich bitte dich nicht!","Nein, ich bitte Sie nicht!",Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
11,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.","Gut, dann haben wir am Montag eine eindeutige Antwort für dich, aber ich denke, ich kann mit einiger Sicherheit sagen, du wirst hier gut reinpassen.","Also gut, wir werden am Montag eine definitive Antwort für Sie haben, aber ich denke, ich kann mit einiger Zuversicht sagen, dass Sie hier gut reinpassen werden.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
12,Really?!,Ja wirklich?!,Wirklich?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
13,Absolutely.  You can relax,Absolut. Du kannst dich entspannen,Ganz sicher.  Sie können sich entspannen,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
14,But then who? The waitress I went out with last month?,"Aber wer dann? Die Kellnerin, mit der ich letzten Monat ausgegangen bin?","Aber wer dann? Die Kellnerin, mit der ich letzten Monat ausging?",Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
