,sr no.,utterance,utterance_de,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
0,1,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,Außerdem war ich der Ansprechpartner beim Übergang meines Unternehmens vom KL-5- zum GR-6-System.,Chandler,neutral,neutral,0,0,8,21,"00:16:16,059","00:16:21,731"
1,2,You must’ve had your hands full.,Sie müssen alle Hände voll zu tun haben.,The Interviewer,neutral,neutral,0,1,8,21,"00:16:21,940","00:16:23,442"
2,3,That I did. That I did.,Das habe ich getan. Das habe ich getan.,Chandler,neutral,neutral,0,2,8,21,"00:16:23,442","00:16:26,389"
3,4,So let’s talk a little bit about your duties.,Sprechen wir also ein wenig über Ihre Aufgaben.,The Interviewer,neutral,neutral,0,3,8,21,"00:16:26,820","00:16:29,572"
4,5,My duties?  All right.,Meine Aufgaben? Alles klar.,Chandler,surprise,positive,0,4,8,21,"00:16:34,452","00:16:40,917"
5,6,"Now you’ll be heading a whole division, so you’ll have a lot of duties.","Jetzt werden Sie eine ganze Abteilung leiten, also haben Sie viele Aufgaben.",The Interviewer,neutral,neutral,0,5,8,21,"00:16:41,126","00:16:44,337"
6,7,I see.,Aha.,Chandler,neutral,neutral,0,6,8,21,"00:16:48,800","00:16:51,886"
7,8,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,"Aber es werden vielleicht 30 Leute unter Ihnen sein, damit Sie eine bestimmte Menge auf sie werfen können.",The Interviewer,neutral,neutral,0,7,8,21,"00:16:48,800","00:16:54,514"
8,9,Good to know.,Gut zu wissen.,Chandler,neutral,neutral,0,8,8,21,"00:16:59,477","00:17:00,478"
9,10,We can go into detail,Wir können ins Detail gehen,The Interviewer,neutral,neutral,0,9,8,21,"00:17:00,478","00:17:02,719"
10,11,No don’t I beg of you!,"Nein, ich bitte dich nicht!",Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
11,12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.","Gut, dann haben wir am Montag eine eindeutige Antwort für dich, aber ich denke, ich kann mit einiger Sicherheit sagen, du wirst hier gut reinpassen.",The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
12,13,Really?!,Ja wirklich?!,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
13,14,Absolutely.  You can relax,Absolut. Du kannst dich entspannen,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
14,15,But then who? The waitress I went out with last month?,"Aber wer dann? Die Kellnerin, mit der ich letzten Monat ausgegangen bin?",Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
15,16,You know? Forget it!,Wissen Sie? Vergiss es!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
16,17,"No-no-no-no, no! Who, who were you talking about?","Nein nein Nein Nein Nein! Von wem, von wem hast du gesprochen?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
17,18,"No, I-I-I-I don't, I actually don't know","Nein, ich-ich-ich-ich weiß nicht, ich weiß es eigentlich nicht",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,19,Ok!,OK!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,20,"All right, well...","Alles klar, gut...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,23,"Yeah, sure!",Ja sicher!,Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,24,"Hey, Mon.","Hallo, Mo.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
22,25,Hey-hey-hey. You wanna hear something that sucks.,"Hey Hey Hey. Du willst etwas hören, das nervt.",Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
23,26,Do I ever.,Habe ich jemals.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
24,27,Chris says they’re closing down the bar.,"Chris sagt, dass sie die Bar schließen.",Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
25,28,No way!,Auf keinen Fall!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
26,29,"Yeah, apparently they’re turning it into some kinda coffee place.","Ja, anscheinend verwandeln sie es in eine Art Kaffeehaus.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
27,30,Just coffee! Where are we gonna hang out now?,Nur Kaffee! Wo werden wir jetzt rumhängen?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
28,31,Got me.,Hast mich.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
29,32,Can I get a beer.,Kann ich ein Bier bekommen.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
30,33,"Hey, did you pick a roommate?","Hey, hast du dir einen Mitbewohner ausgesucht?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
31,34,You betcha!,Darauf kannst du wetten!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
32,35,Is it the Italian guy?,Ist es der Italiener?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
33,36,"Um-mm, yeah right!","Ähm-mm, ja richtig!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
34,37,"Oh my God, oh my God! Poor Monica!",Oh mein Gott oh mein Gott! Arme Monika!,Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
35,38,"What, what, what?!",Was was Was?!,Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
36,39,What?!,Was?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
37,40,He was with her when he wrote this poem.,"Er war bei ihr, als er dieses Gedicht schrieb.",Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
38,41,"Look,  'My vessel so empty with nothing inside.","Schau: 'Mein Gefäß ist so leer, mit nichts drin.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
39,42,"Now that I've touched you, you seem emptier still.'","Jetzt, wo ich dich berührt habe, scheinst du noch leerer zu sein.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
40,43,"He thinks Monica is empty, she is the empty vase!","Er denkt, Monica ist leer, sie ist die leere Vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
41,45,"Oh, totally. Oh, God, oh, she seemed so happy too.","Ach, total. Oh, Gott, oh, sie schien auch so glücklich zu sein.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
42,46,Done.,Getan.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
43,47,Hey!,Hallo!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
44,48,Hi!,Hallo!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
45,49,What are you doing here?,Was machst du hier?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
46,50,"Ah y'know, this building is on my paper route so I...","Ach weißt du, dieses Gebäude liegt auf meiner Papierroute, also...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
47,51,Oh.,Oh.,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
48,52,Hi.,Hallo.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
49,53,Hi.,Hallo.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
50,54,How’d did it go?,Wie ist es gelaufen?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
51,55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.","Na ja, die Frau, mit der ich interviewt habe, war ziemlich hart, aber Gott sei Dank hat Mark mich trainiert, denn als ich anfing, über die Falllinie zu sprechen, war sie ganz glücklich und wollte nicht den Mund halten.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
52,56,I’m so proud of you.,Ich bin so stolz auf dich.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
53,57,Me too!,Ich auch!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
54,58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...","Hör zu, es tut mir leid, dass ich so verrückt und eifersüchtig war, und ich mag dich nur sehr, also...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
55,59,I know.,Ich weiß.,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
56,60,Yeah.,Ja.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
57,61,Yeah.,Ja.,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
