dialogue_id,utterance,utterance_de_deepl,speaker,utterance_len,label
0,"What you guys don't understand is, for us, kissing is as important as any part of it.","Was ihr nicht versteht, ist, dass für uns das Küssen genauso wichtig ist wie jeder andere Teil davon.",Monica Geller,17,joyful
0,"Yeah, right!.......Y'serious?","Ja, klar! .......Ist das dein Ernst?",Joey Tribbiani,2,neutral
0,"Oh, yeah!","Oh, ja!",Phoebe Buffay,2,joyful
0,Everything you need to know is in that first kiss.,"Alles was ihr wissen müsst, ist in diesem ersten Kuss.",Rachel Green,10,powerful
0,Absolutely.,Ganz genau.,Monica Geller,1,powerful
0,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.","Ja, ich denke, für uns ist der Kuss so etwas wie der Eröffnungsakt, verstehst du? Ich meine, es ist wie der Stand-up-Comedian, den man sich ansehen muss, bevor Pink Floyd auftritt.",Chandler Bing,31,joyful
0,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.","Ja, und - und es ist nicht so, dass wir den Comedian nicht mögen, es ist nur, dass - das... das ist nicht der Grund, warum wir das Ticket gekauft haben.",Ross Geller,19,neutral
0,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.","Das Problem ist nur, dass ihr Mädels nach dem Konzert, egal wie toll die Show war, immer wieder nach dem Comedian sucht, verstehst du? Ich meine, wir sitzen im Auto, wir kämpfen gegen den Verkehr... im Grunde versuchen wir nur, wach zu bleiben.",Chandler Bing,40,mad
0,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.","Ja, nun, ein Ratschlag: Bringt den Comedian zurück. Sonst sitzt du das nächste Mal zu Hause und hörst dir das Album allein an.",Rachel Green,24,sad
0,....Are we still talking about sex?,....Reden wir immer noch über Sex?,Joey Tribbiani,6,joyful
1,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?","Nein, es ist gut, es ist gut, es ist nur, dass... Scheint sie nicht ein wenig wütend zu sein?",Ross Geller,16,scared
1,"Well, she has issues.","Nun, sie hat Probleme.",Marsha,4,sad
1,Does she.,Hat sie.,Ross Geller,2,scared
1,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!","Er schlägt anderen Frauen mit einem Knüppel auf den Kopf, während sie zu Hause sitzt und versucht, den Mastodon-Geruch aus dem Teppich zu bekommen!",Marsha,26,mad
1,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?","Marsha, das sind Höhlenmenschen. Das sind Höhlenmenschen, okay? Die haben Probleme wie ""Mensch, der Gletscher kommt irgendwie näher. Siehst du?",Ross Geller,17,neutral
1,"Speaking of issues, isn't that your ex-wife?","Apropos Probleme, ist das nicht deine Ex-Frau?",Marsha,7,mad
1,No. No.,Nein. Nein.,Ross Geller,2,scared
1,"Yes, it is. Carol! Hi!","Doch, das ist sie. Carol! (Hathaway) Hi!",Marsha,5,joyful
1,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.","Okay, okay, ja, das ist sie. Wie wär's, wenn wir uns in der Eiszeit wiedersehen?",Ross Geller,17,scared
1,Hi.,Hi.,Ross Geller,1,neutral
1,So.,So.,Carol Willick,1,neutral
1,"You look great. I, uh... I hate that.","Du siehst toll aus. Ich, äh... Ich hasse das.",Ross Geller,8,scared
1,Sorry. You look good too.,Tut mir leid. Du siehst auch gut aus. Du siehst auch gut aus.,Carol Willick,5,joyful
1,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...","Nun, hier drin ist jeder, der aufrecht steht... Also, was gibt's Neues? Immer noch, äh...",Ross Geller,13,joyful
1,A lesbian?,Eine Lesbe?,Carol Willick,2,neutral
1,"Well... you never know. How's, um.. how's the family?",Na ja... man weiß ja nie. Wie geht's der Familie?,Ross Geller,9,peaceful
1,"Marty's still totally paranoid. Oh, and, uh-","Marty ist immer noch total paranoid. Oh, und, äh...",Carol Willick,7,mad
1,"Why- why are you here, Carol?","Warum... Warum bist du hier, Carol?",Ross Geller,6,scared
1,I'm pregnant.,Ich bin schwanger.,Carol Willick,2,neutral
1,Pregnant?!,Schwanger?!,Ross Geller,1,scared
2,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.","Tut mir leid, dass ich zu spät komme. Ich steckte auf der Arbeit fest. Da war so ein großes Dinosaurier... Ding... egal.",Ross Geller,15,neutral
2,Hi.,(Ross) Hi.,Susan Bunch,1,neutral
2,"Ross, you remember Susan.","Ross, du erinnerst dich an Susan.",Carol Willick,4,neutral
2,How could I forget?,Wie konnte ich das vergessen?,Ross Geller,4,mad
2,Ross.,Ross.,Susan Bunch,1,neutral
2,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?","Hallo, Susan. Gut geschüttelt. Gut geschüttelt. Also, äh, wir warten nur noch auf...?",Ross Geller,12,neutral
2,Dr. Oberman.,Dr. Oberman.,Carol Willick,2,neutral
2,..Dr. Oberman. Okay. And is he-,...Dr. Oberman. Dr. Oberman. Okay. Und ist er...,Ross Geller,6,neutral
2,She.,Sie.,Susan Bunch,1,neutral
2,"-she, of course, she- uh- familiar with our.. special situation?",-Sie ist natürlich mit unserer speziellen Situation vertraut?,Ross Geller,10,neutral
2,"Yes, and she's very supportive.","Ja, und sie ist sehr hilfsbereit.",Carol Willick,5,neutral
2,"Okay, that's great. No, I'm- Oh.","Okay, das ist großartig. Nein, ich bin... Oh.",Ross Geller,6,neutral
2,Thanks.,"Oh, danke.",Carol Willick,1,neutral
2,"Quack, quack..","Quack, quack...",Ross Geller,2,joyful
2,Ross? That opens my cervix.,Ross? Das öffnet meinen Gebärmutterhals.,Carol Willick,5,scared
3,Barry?,Barry?,Rachel Green,1,neutral
3,C'mon in.,Komm doch rein.,Barry Farber,2,neutral
3,Are you sure?,Sind Sie sicher?,Rachel Green,3,scared
