,dialogue_id,utterance,utterance_de_deepl,speaker,utterance_len,label
0,0,also I was the point person on my company's transition from the KL-5 to GR-6 system.,Außerdem war ich die Kontaktperson bei der Umstellung meines Unternehmens vom KL-5- auf das GR-6-System.,Chandler,16,neutral
1,0,You must've had your hands full.,Sie müssen alle Hände voll zu tun gehabt haben.,The Interviewer,6,neutral
2,0,That I did. That I did.,"Das hatte ich. Ja, das hatte ich.",Chandler,6,neutral
3,0,So let's talk a little bit about your duties.,Reden wir ein wenig über Ihre Aufgaben.,The Interviewer,9,neutral
4,0,My duties?  All right.,Meine Aufgaben?  Also gut.,Chandler,4,surprise
5,0,"Now you'll be heading a whole division, so you'll have a lot of duties.","Sie werden eine ganze Abteilung leiten, also haben Sie eine Menge Aufgaben.",The Interviewer,14,neutral
6,0,I see.,Ich verstehe.,Chandler,2,neutral
7,0,But there'll be perhaps 30 people under you so you can dump a certain amount on them.,"Aber es werden vielleicht 30 Leute unter Ihnen sein, also können Sie ihnen eine gewisse Menge aufbürden.",The Interviewer,17,neutral
8,0,Good to know.,Gut zu wissen.,Chandler,3,neutral
9,0,We can go into detail,Wir können ins Detail gehen,The Interviewer,5,neutral
10,0,No don't I beg of you!,"Nein, ich bitte Sie nicht!",Chandler,6,fear
11,0,"All right then, we'll have a definite answer for you on Monday, but I think I can say with some confidence, you'll fit in well here.","Also gut, wir werden am Montag eine definitive Antwort für Sie haben, aber ich denke, ich kann mit einiger Zuversicht sagen, dass Sie hier gut reinpassen werden.",The Interviewer,26,neutral
12,0,Really?!,Wirklich?!,Chandler,1,surprise
13,0,Absolutely.  You can relax; you did great.,"Ganz sicher.  Sie können sich entspannen, Sie haben das toll gemacht.",The Interviewer,7,neutral
14,0,But then who? The waitress I went out with last month?,"Aber wer dann? Die Kellnerin, mit der ich letzten Monat ausgegangen bin?",Joey,11,surprise
15,0,You know? Forget it!,Du weißt es? Vergiss es!,Rachel,4,non-neutral
16,0,"No-no-no-no, no! Who, who were you talking about?","Nein, nein, nein, nein, nein! Von wem, von wem hast du gesprochen?",Joey,8,surprise
17,0,"No, I-I-I-I don't, I actually don't know","Nein, ich weiß es nicht. Ich weiß es wirklich nicht.",Rachel,7,non-neutral
18,0,Ok!,Okay!,Joey,1,neutral
19,0,"All right, well...","Alles klar, nun...",Joey,3,neutral
20,0,I'm gonna see if I can get a room for the night and I'll...,"Ich werde sehen, ob ich ein Zimmer für die Nacht bekomme und ich werde...",Joey,14,non-neutral
21,0,I'll see you later!,Ich sehe dich später!,Joey,4,non-neutral
22,0,"Yeah, sure!","Ja, klar.",Rachel,2,neutral
23,1,"Hey, Mon.","Hey, Mon.",Chandler,2,neutral
24,1,Hey-hey-hey. You wanna hear something that sucks.,"Hey-hey-hey. Du willst was hören, was scheiße ist.",Monica,7,neutral
25,1,Do I ever.,Will ich immer.,Chandler,3,joy
26,1,Chris says they're closing down the bar.,"Chris sagt, sie machen die Bar zu.",Monica,7,sadness
27,1,No way!,Das gibt's doch nicht!,Chandler,2,surprise
28,1,"Yeah, apparently they're turning it into some kinda coffee place.","Ja, anscheinend machen sie daraus eine Art Kaffee-Laden.",Monica,10,neutral
29,1,Just coffee! Where are we gonna hang out now?,Nur Kaffee! Wo werden wir jetzt abhängen?,Chandler,9,non-neutral
30,1,Got me.,Ich bin dabei.,Monica,2,sadness
31,1,Can I get a beer.,Kann ich ein Bier bekommen.,Chandler,5,neutral
32,1,"Hey, did you pick a roommate?","Hey, hast du dir eine Mitbewohnerin ausgesucht?",Monica,6,neutral
33,1,You betcha!,Darauf kannst du wetten!,Chandler,2,joy
34,1,Is it the Italian guy?,Ist es der italienische Typ?,Monica,5,neutral
35,1,"Um-mm, yeah right!","Ähm-mm, ja klar!",Chandler,3,non-neutral
36,1,"Oh my God, oh my God! Poor Monica!","Oh mein Gott, oh mein Gott! Die arme Monica!",Phoebe,8,surprise
37,1,"What, what, what?!","Was, was, was?!",Chandler,3,surprise
38,1,What?!,Was?!,Phoebe,1,surprise
39,1,He was with her when he wrote this poem.,"Er war mit ihr zusammen, als er dieses Gedicht schrieb.",Phoebe,9,neutral
40,1,"Look,  'My vessel so empty with nothing inside.","Schau, 'Mein Gefäß so leer, mit nichts darin.",Phoebe,8,neutral
41,1,"Now that I've touched you, you seem emptier still.'","Jetzt, wo ich dich berührt habe, scheinst du noch leerer zu sein.'",Phoebe,9,neutral
42,1,"He thinks Monica is empty, she is the empty vase!","Er denkt, Monica ist leer, sie ist die leere Vase!",Phoebe,10,surprise
43,1,You really think that is what he meant?,"Sie denken wirklich, das ist, was er gemeint hat?",Chandler,8,non-neutral
44,1,"Oh, totally. Oh, God, oh, she seemed so happy too.","Oh, total. Oh, Gott, oh, sie schien auch so glücklich.",Phoebe,10,sadness
45,1,Done.,Erledigt.,Joey,1,neutral
46,2,Hey!,Hey!,Rachel,1,non-neutral
47,2,Hi!,Hi!,Ross,1,non-neutral
48,2,What are you doing here?,Was machst du denn hier?,Rachel,5,surprise
49,2,"Ah y'know, this building is on my paper route so I...","Ah, weißt du, dieses Gebäude liegt auf meiner Zeitungsroute, also habe ich...",Ross,11,neutral
50,2,Oh.,Oh...,Rachel,1,neutral
51,2,Hi.,Hi.,Ross,1,neutral
52,2,Hi.,Hi.,Rachel,1,neutral
53,2,How'd did it go?,Wie ist es gelaufen?,Ross,4,neutral
54,2,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.","Die Frau, mit der ich mich unterhalten habe, war ziemlich hart, aber Gott sei Dank hat Mark mich gecoacht, denn als ich anfing, über die Falllinie zu reden, wurde sie ganz glücklich und wollte nicht mehr aufhören.",Rachel,34,joy
55,2,I'm so proud of you.,Ich bin so stolz auf dich.,Ross,5,joy
56,2,Me too!,Ich auch!,Rachel,2,joy
57,2,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...","Es tut mir leid, dass ich so verrückt und eifersüchtig war. Ich mag dich sehr, also...",Ross,21,non-neutral
58,2,I know.,"Ja, ich weiß.",Rachel,2,neutral
59,2,Yeah.,Ich weiß. Ja.,Ross,1,neutral
60,2,Yeah.,"Ja, ich weiß.",Rachel,1,neutral
61,2,Ameri-can.,Ameri-kann.,Phoebe,1,neutral
62,2,Ameri-ccan.,Ameri-ccan.,Sergei,1,neutral
63,2,Ameri-can. Y'know it's a,"Ameri-can. Ihr wisst, es ist ein",Phoebe,4,neutral
64,2,Everybody!!,Alle!!,Sergei,1,surprise
65,3,Good job Joe! Well done! Top notch!,"Gut gemacht, Joe! Gut gemacht! Erste Sahne!",Chandler,7,joy
66,3,You liked it? You really liked it?,Es hat dir gefallen? Du hast es wirklich gemocht?,Joey,7,surprise
67,3,"Oh-ho-ho, yeah!","Oh-ho-ho, ja!",Chandler,2,joy
68,3,Which part exactly?,Welcher Teil genau?,Joey,3,neutral
69,3,The whole thing! Can we go?,Die ganze Sache! Können wir gehen?,Chandler,6,neutral
70,3,"Oh no-no-no, give me some specifics.","Oh nein, nein, nein, gib mir ein paar Einzelheiten.",Joey,6,non-neutral
71,3,"I love the specifics, the specifics were the best part!","Ich liebe die Details, die Details waren das Beste daran!",Chandler,10,non-neutral
72,3,"Hey, what about the scene with the kangaroo? Did-did you like that part?","Hey, was ist mit der Szene mit dem Känguru? Hat dir der Teil gefallen?",Joey,13,neutral
73,3,I was surprised to see a kangaroo in a World War I epic.,"Ich war überrascht, ein Känguru in einem Epos über den Ersten Weltkrieg zu sehen.",Chandler,13,non-neutral
74,3,You fell asleep!!,Du bist eingeschlafen!!,Joey,3,anger
75,3,There was no kangaroo!,Es gab kein Känguru!,Joey,4,anger
76,3,They didn't take any of my suggestions!,Sie haben keinen meiner Vorschläge angenommen!,Joey,7,non-neutral
77,3,That's for coming buddy.,"Das ist fürs Kommen, Kumpel.",Joey,4,neutral
78,3,I'll see you later.,Wir sehen uns später.,Joey,4,neutral
79,3,Don't go!,Gehen Sie nicht!,Chandler,2,sadness
80,3,I'm sorry.,Es tut mir so leid.,Chandler,2,sadness
81,3,I'm so sorry!,Es tut mir so leid!,Chandler,3,sadness
82,3,Look!,Sieh mal!,Chandler,1,surprise
83,3,This guy fell asleep!,Der Typ ist eingeschlafen!,Chandler,4,non-neutral
84,3,He fell asleep too!,Er ist auch eingeschlafen!,Chandler,4,non-neutral
85,3,Be mad at him!,Seien Sie böse auf ihn!,Chandler,4,anger
